Level: 2990082, Operation count: 4230, has_split: true, has_gc: false
Level: 2998274, Operation count: 3825, has_split: true, has_gc: false
Level: 3006466, Operation count: 5067, has_split: true, has_gc: false
Level: 3014658, Operation count: 4641, has_split: true, has_gc: false
Level: 3022850, Operation count: 129477, has_split: true, has_gc: false
Level: 3031042, Operation count: 4249, has_split: true, has_gc: false
Level: 3039234, Operation count: 132125, has_split: true, has_gc: false
Level: 3039568, Operation count: 2362, has_split: false, has_gc: true
Level: 3047426, Operation count: 3719, has_split: true, has_gc: false
Level: 3047660, Operation count: 2517, has_split: false, has_gc: true
Level: 3055618, Operation count: 3783, has_split: true, has_gc: false
Level: 3055785, Operation count: 3809, has_split: false, has_gc: true
Level: 3063810, Operation count: 4065, has_split: true, has_gc: false
Level: 3064031, Operation count: 2616, has_split: false, has_gc: true
Level: 3072002, Operation count: 4872, has_split: true, has_gc: false
Level: 3072162, Operation count: 10104, has_split: false, has_gc: true
Level: 3080194, Operation count: 5951, has_split: true, has_gc: false
Level: 3080362, Operation count: 4441, has_split: false, has_gc: true
